"Código da Unidade Orçamentária","Unidade Orçamentária","Código da Unidade Gestora","Unidade Gestora","EXECUTADA (R$)","REALIZADA (R$)","SALDO A PAGAR (R$)"
"19202","ESPEP - ESCOLA DE SERVICO PUBLICO DO ESTADO DA PARAIBA","190201","ESCOLA DE SERVICO PUBLICO DO ESTADO DA PARAIBA - ESPEP","3171575.46","3039939.21","131636.25"
"19204","CODATA - CIA DE PROCESSAMENTO DE DADOS DA PARAIBA","190401","COMPANHIA DE PROCESSAMENTO DE DADOS DA PARAIBA - CODATA","8606168.26","8210695.24","395473.02"
"19901","FUNDO ESPECIAL DE DESENV DE RECURSOS HUMANOS","490001","FUNDO ESPECIAL DE DESENVOLVIMENTO DE RECURSOS HUMANOS","2380697.79","2198792.49","181905.30"
"20101","SECRETARIA DE ESTADO DAS FINANCAS","200001","GABINETE DO SECRETARIO","13676990.11","13676457.41","532.70"
"2101","TRIBUNAL DE CONTAS","20001","TRIBUNAL DE CONTAS","84410601.18","83074107.87","1336493.31"
"21101","SEC DE ESTADO DO TURISMO E DO DESENVOLVIMENTO ECONOMICO","210001","GABINETE DO SECRETARIO","7316955.64","7259788.25","57167.39"
"21101","FUNDO DE DESENVOLVIMENTO AGROPECUARIO DO ESTADO DA PB","680001","GABINETE DO SECRETARIO","2013895.94","2013895.94","0.00"
"21201","CIA DE DESENVOLVIMENTO DA PARAIBA","210101","COMPANHIA DE INDUSTRIALIZACAO DO ESTADO DA PARAIBA","12162054.13","12090233.83","71820.30"
"21202","EMPRESA PARAIBANA DE TURISMO SA  -  PB-TUR","210201","EMPRESA PARAIBANA DE TURISMO - PB/TUR","3151547.32","3051183.80","100363.52"
"21204","INSTITUTO DE METROLOGIA E QUALIDADE INDUST. DA PARAIBA","210401","INSTITUTO DE METROLOGIA E QUALIDADE INDUST DA PB IMEQ","4489007.88","4462243.33","26764.55"
"21205","JUNTA COMERCIAL DO ESTADO DA PARAIBA","210501","JUNTA COMERCIAL DO ESTADO DA PARAIBA","4764775.62","4658071.62","106704.00"
"21207","PB-TUR HOTEIS S/A","210701","PB-TUR HOTEIS S/A","329740.79","323297.64","6443.15"
"21212","CIA DE DESENVOLVIMENTO DE RECURSOS MINERAIS DA PARAIBA","211201","CIA DE DESENVOLVIMENTO DE RECURSOS MINERAIS - CDRM","4618966.20","4220720.19","398246.01"
"21901","FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO","770001","FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO","5488146.88","5488146.88","0.00"
"21902","FUNDO DE APOIO AO DESENVOLVIMENTO INDUSTRIAL DA PB","650001","FUNDO DE APOIO AO DESENVOLVIMENTO INDUSTRIAL DA PARAíBA","4578213.84","3464920.34","1113293.50"
"22101","SECRETARIA DE ESTADO DA EDUCACAO","220001","GABINETE DO SECRETARIO","898867262.61","823761091.29","75106171.32"
"22101","UNIVERSIDADE ESTADUAL DA PARAIBA","220401","GABINETE DO SECRETARIO","0.00","0.00","0.00"
"22101","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","GABINETE DO SECRETARIO","7180059.37","7015699.73","164359.64"
"22201","FUNDACAO ESPACO CULTURAL DA PARAIBA","220101","FUNDACAO ESPACO CULTURAL DO ESTADO DA PARAIBA - FUNESC","0.00","0.00","0.00"
"22203","FUNDACAO CASA DE JOSE AMERICO","220301","FUNDACAO CASA DE JOSE AMERICO","0.00","0.00","0.00"
"22204","UNIVERSIDADE ESTADUAL DA PARAIBA","220401","UNIVERSIDADE ESTADUAL DA PARAIBA - UEPB","228715066.32","220009071.54","8705994.78"
"22205","FUNDACAO CASA DO ESTUDANTE DA PARAIBA","220501","FUNDACAO CASA DO ESTUDANTE DA PARAIBA","159169.56","154189.00","4980.56"
"22208","FUNDACAO CENTRO INTEGR. DE APOIO AO POR. DE DEFICIENCIA","220801","FUNDACAO CENTRO INTEG DE APOIO AO PORTADOR DE DEF FUNAD","5810100.49","5270819.54","539280.95"
"23101","CORPO DE BOMBEIROS MILITAR","230001","CORPO DE BOMBEIROS MILITAR","51220368.37","51002171.37","218197.00"
"23901","FUNDO ESPECIAL DO CORPO DE BOMBEIROS","570001","FUNDO ESPECIAL DO CORPO DE BOMBEIROS","7586076.58","2905342.55","4680734.03"
"24101","SECRETARIA DE ESTADO DA ADMINISTRACAO PENITENCIARIA","240001","GABINETE DO SECRETARIO","70680329.47","63175996.46","7504333.01"
"25101","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","GABINETE DO SECRETARIO / FESEP","9650506.54","9560005.26","90501.28"
"25101","SECRETARIA DE ESTADO DA SAUDE","250001","GABINETE DO SECRETARIO / FESEP","730929822.72","691663851.96","39265970.76"
"25101","ENCARGOS GERAIS DO ESTADO - SUP SEFIN","300002","GABINETE DO SECRETARIO / FESEP","21530900.11","21530900.11","0.00"
"25102","SECRETARIA DE ESTADO DA SAUDE","250001","CONSELHO ESTADUAL DE SAUDE","819268.19","780847.48","38420.71"
"25201","LABORATORIO INDUSTRIAL FARMACEUTICO DA PARAIBA S/A","250101","LABORATORIO INDUSTRIAL FARMACEUTICO DA PARAIBA S/A","534501.88","411699.95","122801.93"
"25202","AGENCIA ESTADUAL DE VIGILANCIA SANITARIA","250201","AGENCIA ESTADUAL DE VIGILANCIA SANITARIA - AGEVISA","3551743.84","3058257.10","493486.74"
"26101","SECRETARIA DE ESTADO DA SEGURANCA E DA DEFESA SOCIAL","260001","GABINETE DO SECRETARIO","157134175.95","156557703.76","576472.19"
"26102","SECRETARIA DE ESTADO DA SEGURANCA E DA DEFESA SOCIAL","260001","SUPERINTENDENCIA GERAL DE POLICIA CIVIL","1620056.14","1534535.37","85520.77"
"26201","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","DEPARTAMENTO ESTADUAL DE TRANSITO DETRAN","271104.49","271104.49","0.00"
"26201","FUNDACAO ESPACO CULTURAL DA PARAIBA","360101","DEPARTAMENTO ESTADUAL DE TRANSITO DETRAN","120400.00","120400.00","0.00"
"26201","DEPARTAMENTO ESTADUAL DE TRANSITO","260101","DEPARTAMENTO ESTADUAL DE TRANSITO DETRAN","97323220.05","88047687.02","9275533.03"
"26901","FUNDO ESPECIAL DA SEGURANCA PUBLICA","460001","FUNDO ESPECIAL DE SEGURANCA PUBLICA - FESP","3953668.91","2535863.60","1417805.31"
"27101","SECRETARIA DE ESTADO DO DESENVOLVIMENTO HUMANO","270001","GABINETE DO SECRETARIO","35470107.15","35218598.52","251508.63"
"27201","FUND DESENV CRIANCA E ADOLESCENTE ALICE ALMEIDA","270101","FUNDACAO DESENV DA CRIANCA E DO ADOLES ALICE DE ALMEIDA","35469845.19","23270178.25","12199666.94"
"27202","FUNDACAO DE ACAO COMUNITARIA","270201","FUNDACAO DE ACAO COMUNITARIA","81618672.14","68795147.57","12823524.57"
"27203","LOTERIA DO ESTADO DA PARAIBA","270301","LOTERIA DO ESTADO DA PARAIBA - LOTEP","1303254.15","1197653.05","105601.10"
"27204","COMPANHIA ESTADUAL DE HABITACAO POPULAR","270401","COMPANHIA ESTADUAL DE HABITACAO POPULAR CEHAP","15781084.09","15637329.30","143754.79"
"27901","FUNDO ESTADUAL DA CRIANCA E DO ADOLESCENTE","480001","FUNDO ESTADUAL DA CRIANCA E DO ADOLESCENTE","500386.04","254134.04","246252.00"
"27902","FUNDO ESTADUAL DE ASSISTENCIA SOCIAL","500001","FUNDO ESTADUAL DE ASSISTENCIA SOCIAL - FEAS","3637260.17","3613884.18","23375.99"
"28101","SECRETARIA DE ESTADO DO DESENVOLVIMENTO HUMANO","270001","GABINETE DO SECRETARIO","48500.00","48500.00","0.00"
"28101","DEPARTAMENTO DE ESTRADAS E RODAGEM","340101","GABINETE DO SECRETARIO","2851090.75","2851090.75","0.00"
"28101","SEC DE EST DO MEIO AMB DOS REC HID DA CIEN E TECNOLOGIA","280001","GABINETE DO SECRETARIO","42014664.12","41983035.68","31628.44"
"28201","SUPERINTENDENCIA DE ADMINISTRACAO DO MEIO AMBIENTE","280101","SUPERINTENDENCIA DE ADMINISTRACAO DO MEIO AMBIENTE","7674312.99","6931229.10","743083.89"
"28204","FUNDACAO DE APOIO A PESQUISA DO ESTADO DA PB - FAPESQ","280401","FUNDACAO DE APOIO A PESQUISA DO ESTADO DA PARAIBA","3911471.36","3904886.47","6584.89"
"28205","AGENCIA EXECUTIVA DE GESTAO DAS AGUAS DO ESTADO DA PB","280501","AGENCIA EXECUTIVA DE GESTAO DAS AGUAS DO ESTADO DA PB","2032180.09","1999366.21","32813.88"
"28901","FUNDO ESTADUAL DE PROTECAO AO MEIO AMBIENTE","590001","FUNDO ESTADUAL DE PROTECAO AO MEIO AMBIENTE","21692.80","20692.80","1000.00"
"28902","FUNDO ESTADUAL DE RECURSOS HIDRICOS","610001","FUNDO ESTADUAL DE RECURSOS HIDRICOS","85435.24","85435.24","0.00"
"2901","FUNDO DE FISCALIZACAO ORCAMENTARIA E FINANC MUNICIPAL","630001","FUNDO DE FISCALIZACAO ORCAMENTARIA E FINANCEIRA MUNICIP","88387.65","88387.65","0.00"
"29101","SECRETARIA DE ESTADO DA COMUNICACAO INSTITUCIONAL","290001","GABINETE DO SECRETARIO","15914195.60","15041107.65","873087.95"
"29202","A UNIAO - SUP. DE IMPRENSA E EDITORA","290201","A UNIAO SUPERINTENDENCIA DE IMPRENSA E EDITORA","8137834.74","6864429.95","1273404.79"
"29203","RADIO TABAJARA - SUPERINTENDENCIA DE RADIODIFUSAO","290301","RADIO TABAJARA - SUPERINTENDENCIA DE RADIODIFUSAO","3566104.91","3502011.10","64093.81"
"30101","ENCARGOS GERAIS DO ESTADO - SUP SEC ADMINISTRACAO","300001","RECURSOS SOB SUPERVISAO DA SECRETARIA DA ADMINISTRACAO","102901692.94","96554411.38","6347281.56"
"30102","ENCARGOS GERAIS DO ESTADO - SUP SEFIN","300002","RECURSOS SOB SUPERVISAO DA SEC DE ESTADO DAS FINANCAS","477091701.28","476057540.41","1034160.87"
"32101","SECRETARIA DE ESTADO DO PLANEJAMENTO E GESTAO","320001","GABINETE DO SECRETáRIO","16206149.91","14492797.69","1713352.22"
"32201","IDEME - INST DE DESENV MUNICIPAL E ESTADUAL","320101","INSTITUTO DE DESENVOLVIMENTO MUNICIPAL E ESTADUAL IDEME","398304.50","398304.50","0.00"
"32901","FUNDO DE COMBATE E ERRADICACAO DA POBREZA NO ESTADO PB","670001","FUND DE COMBATE E ERRADICAÇÃO DA POBR NO EST DA PARAÍBA","5857792.68","4579212.81","1278579.87"
"33101","PROJETO COOPERAR DO ESTADO DA PARAIBA","330001","PROJETO NORDESTE","5395945.13","3990686.43","1405258.70"
"34101","SECRETARIA DE ESTADO DA INFRA-ESTRUTURA","340001","GABINETE DO SECRETARIO","24095738.28","23602034.79","493703.49"
"34102","SECRETARIA DE ESTADO DA INFRA-ESTRUTURA","340001","COMISSAO DE DEFESA CIVIL DO ESTADO DA PARAIBA","3993670.10","3985680.72","7989.38"
"34103","SECRETARIA DE ESTADO DA INFRA-ESTRUTURA","340001","UNIDADE EXECUTIVA LOCAL - PAC NA PARAIBA","28888285.50","26656402.15","2231883.35"
"34201","DEPARTAMENTO DE ESTRADAS E RODAGEM","340101","DEPARTAMENTO DE ESTRADAS DE RODAGEM - DER","183143319.32","162606194.40","20537124.92"
"34202","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","SUPERINTENDENCIA DE OBRAS DO PLANO DE DESENV DO ESTADO","58584950.66","58201165.19","383785.47"
"34203","COMPANHIA DOCAS DA PARAIBA","340301","COMPANHIA DOCAS DA PARAIBA","9088920.52","8606485.48","482435.04"
"34206","COMPANHIA DE AGUA E ESGOTOS DO ESTADO DA PARAIBA","340601","COMPANHIA DE AGUA E ESGOTOS DO ESTADO DA PARAIBA CAGEPA","11748467.15","9396042.86","2352424.29"
"35101","SEC DE ESTADO DO DESENV DA AGROPECUARIA E DA PESCA","350001","GABINETE DO SECRETÁRIO","24242069.01","24201771.44","40297.57"
"35201","EMATER - EMP. DE ASSISTENCIA TECNICA E EXTENCAO RURAL","350101","EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DA PB","84540528.07","82840140.54","1700387.53"
"35202","EMEPA - EMP. ESTADUAL DE PESQUISA AGRO. DA PARAIBA","350201","EMPRESA ESTADUAL DE PESQUISA AGROPECUARIA DA PARAIBA","18077039.88","17038093.38","1038946.50"
"35203","INTERPA - INS. DE TERRAS E PLAN. AGRI. EST. DA PARAIBA","350301","INSTITUTO DE TERRAS E PLANEJ AGRIC DO EST DA PARAIBA","10100432.33","9976368.43","124063.90"
"35204","EMPASA - EMP. PARAIBANA DE ABAST. E SERV. AGRICOLAS","350401","EMPRESA PARAIBANA DE ABASTECIMENTO E SERV AGRICOLAS PB","14769546.29","14456694.75","312851.54"
"35901","FUNDO DE DESENVOLVIMENTO AGROPECUARIO DO ESTADO DA PB","680001","FUNDO DE DESENV AGROPECUARIO DO ESTADO DA PARAíBA","12720755.30","5055126.26","7665629.04"
"36101","SECRETARIA DE ESTADO DA CULTURA","360001","GABINETE DO SECRETARIO","2449171.00","2418940.71","30230.29"
"36201","FUNDACAO ESPACO CULTURAL DA PARAIBA","360101","FUNDACAO ESPACO CULTURAL DO ESTADO DA PARAIBA","5349117.92","5041768.92","307349.00"
"36203","FUNDACAO CASA DE JOSE AMERICO","360301","FUNDACAO CASA DE JOSE AMERICO","601820.87","588441.10","13379.77"
"36206","FUNDACAO ERNANI SATYRO","360601","FUNDACAO ERNANI SATYRO","302356.10","296867.96","5488.14"
"36209","INST. DE PATRIMONIO HISTORICO E ART. DO EST. DA PARAIBA","360901","INSTIT. DO PATRIMONIO HIST. E ARTIST. DO E.PB","78604.11","67924.39","10679.72"
"36902","FUNDO DE INCENTIVO A CULTURA AUGUSTO DOS ANJOS","760001","FUNDO DE INCENTIVO A CULTURA AUGUSTO DOS ANJOS","57144.00","57144.00","0.00"
"5101","JUSTICA COMUM","50001","JUSTICA COMUM","353102781.37","349996268.71","3106512.66"
"5101","PARAIBA PREVIDENCIA - PBPREV","90101","JUSTICA COMUM","7194082.00","2910309.78","4283772.22"
"5102","JUSTICA COMUM","50001","ENCARGOS JUDICIARIOS","40079131.18","40059554.18","19577.00"
"5901","FUNDO ESPECIAL DO PODER JUDICIARIO","530001","FUNDO ESPECIAL DO PODER JUDICIARIO","15865778.81","13023300.96","2842477.85"
"5901","JUSTICA COMUM","50001","FUNDO ESPECIAL DO PODER JUDICIARIO","20839496.68","20839496.68","0.00"
"6101","PARAIBA PREVIDENCIA - PBPREV","90101","MINISTERIO PUBLICO","5128832.76","3432445.56","1696387.20"
"6101","MINISTERIO PUBLICO","60001","MINISTERIO PUBLICO","142789559.66","140843837.42","1945722.24"
"7101","SECRETARIA DE ESTADO DA JUVENTUDE, ESPORTE E LAZER","70001","GABINETE DO SECRETARIO","2665389.49","2629942.73","35446.76"
"9101","CASA CIVIL DO GOVERNADOR","90001","CASA CIVIL DO GOVERNADOR","12877844.05","12808464.58","69379.47"
"9102","GABINETE VICE GOVERNADOR","90002","GABINETE DO VICE-GOVERNADOR","1647297.30","1625078.49","22218.81"
"9103","CASA MILITAR","90003","CASA MILITAR","1033529.46","1028409.35","5120.11"
"9104","ESCRITORIO DE REP. INSTITUCIONAL DO ESTADO DA PARAIBA","90004","ESCRITORIO DE REP. INSTITUCIONAL DO ESTADO DA PARAIBA","625540.91","619308.31","6232.60"
"9201","PARAIBA PREVIDENCIA - PBPREV","90101","PARAIBA PREVIDENCIA - PBPREV","1131268438.98","1131124263.36","144175.62"
"9202","AGENCIA DE REGULACAO DO ESTADO DA PARAIBA","90201","AGENCIA DE REGULACAO DO ESTADO DA PARAIBA","2494794.25","2265932.66","228861.59"
