"Código da Unidade Orçamentária","Unidade Orçamentária","Código da Unidade Gestora","Unidade Gestora","EXECUTADA (R$)","REALIZADA (R$)","SALDO A PAGAR (R$)"
"10101","SEC DE ESTADO DA MULHER E DA DIVERSIDADE HUMANA","100001","SEC ESPECIAL DE ESTADO DE POLITICAS PUB PARA MULHERES","1806101.46","1785908.97","20192.49"
"1101","ASSEMBLEIA LEGISLATIVA","10001","ASSEMBLEIA LEGISLATIVA","195898015.07","194302176.03","1595839.04"
"11101","CONTROLADORIA GERAL DO ESTADO","110001","GABINETE DO SECRETARIO","15163548.91","14959554.04","203994.87"
"12101","SEC. DE ESTADO DO DES. E DA ARTICULACAO MUNICIPAL","120001","GABINETE DO SECRETARIO","160939.59","156129.99","4809.60"
"13101","PROCURADORIA GERAL DO ESTADO","130001","PROCURADORIA GERAL DO ESTADO","15793648.25","15749315.92","44332.33"
"13901","FUNDO DE MODERNIZACAO E REAPAR DA PROC GERAL DO ESTADO","740001","FUNDO DE MODERNIZACAO E REAPAR DA PROC GERAL DO ESTADO","333235.60","325315.60","7920.00"
"14101","DEFENSORIA PUBLICA DO ESTADO DA PARAIBA","140001","DEFENSORIA PUBLICA DO ESTADO DA PARAIBA","42984288.82","42593127.54","391161.28"
"14901","FUNDO ESTADUAL DE DEFESA DOS DIREITOS DO CONSUMIDOR","560001","FUNDO ESTADUAL DE DEFESA DOS DIREITOS DO CONSUMIDOR","433788.62","427351.46","6437.16"
"14902","FUNDO ESPECIAL DA DEFENSORIA PUBLICA","600001","FUNDO ESPECIAL DE DEFENSORIA PUBLICA","13257.95","11501.95","1756.00"
"15101","POLICIA MILITAR DO ESTADO","150001","COMANDO GERAL DA POLICIA MILITAR","399561554.96","391778600.56","7782954.40"
"15201","HOSPITAL DA POLICIA MILITAR GEN EDSON RAMALHO","150101","INSTITUTO HOSPITALAR GENERAL EDSON RAMALHO","18713375.06","17157749.54","1555625.52"
"17101","SECRETARIA DE ESTADO DA RECEITA","170001","GABINETE DO SECRETARIO","208986946.03","208547831.13","439114.90"
"17102","SECRETARIA DE ESTADO DA RECEITA","170001","UNIDADE SETORIAL DE ADMINISTRACAO","172201.07","169092.70","3108.37"
"17902","FUNDO DE APOIO AO DESENV. DA ADMINISTRACAO TRIBUTARIA","730001","FUNDO DE APOIO AO DESENVOLV.DA ADMINISTRACAO TRIBUTARIA","2530104.85","1303667.84","1226437.01"
"18101","SECRETAR DE ESTADO DA INTERIORIZACAO DA ACAO DO GOVERNO","180001","GABINETE DO SECRETARIO","1571526.38","1556153.09","15373.29"
"19101","SECRETARIA DE ESTADO DA ADMINISTRACAO","190001","GABINETE DO SECRETARIO","14432820.59","14346219.59","86601.00"
"19201","INSTITUTO DE ASSISTENCIA A SAUDE DO SERVIDOR","190101","INSTITUTO DE ASSISTENCIA A SAUDE DO SERVIDOR - IPEP","28010558.76","27531643.98","478914.78"
