"Exercicio","Mes","Orgao","Cargo","Quantidade","Regime","Ativo"
"2013","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE DE SAUDE","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ATENDENTE","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 1","3","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","2","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","2","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","CIRURGIAO DENTISTA","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE DE ATIV. ADMINISTRAT","3","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","DEFENSOR PUBLICO 2A ENTRANCIA","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUDITOR FISCAL MERCAD.TRANSITO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 1","32","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 2","5","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 3","11","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","REGENTE DE ENSINO","8","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ESCRIVAO DE POLICIA","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","1. SARGENTO","1","MILITAR REFORMADO","Inativos"
"2013","1","PBPREV - INATIVO","2. SARGENTO","3","MILITAR REFORMADO","Inativos"
"2013","1","PBPREV - INATIVO","3. SARGENTO","3","MILITAR REFORMADO","Inativos"
"2013","1","PBPREV - INATIVO","SOLDADO ENGAJADO","1","MILITAR REFORMADO","Inativos"
"2013","1","PBPREV - INATIVO","SUB TENENTE","1","MILITAR REFORMADO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE ADMINISTRATIVO","6","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ASSESSOR TEC P/ ASS COMUNIT","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ASSESSOR TECNICO DE SAUDE","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","11","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","TECNICO DE NIVEL MEDIO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","VIGILANTE","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE ADMINISTRACAO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE SERVICO","16","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE DE SAUDE","3","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ASSISTENTE SOCIAL","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ATENDENTE","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUXILIAR DE ENFERMAGEM","3","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","MEDICO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","TEC.POL.PUBLICAS E GESTAO GOV.","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE SEGUR. PENITENCIARIO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ADVOGADO","1","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AUDITOR FISCAL TRIBUTARIO EST.","2","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 1","63","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 2","26","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","PROFESSOR DE EDUCACAO BASICA 3","36","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","REGENTE DE ENSINO","29","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","AGENTE DE INVESTIGACAO","2","ESTATUTARIO INATIVO","Inativos"
"2013","1","PBPREV - INATIVO","ESCRIVAO DE POLICIA","1","ESTATUTARIO INATIVO","Inativos"
