"Código da Unidade Orçamentária","Unidade Orçamentária","Código da Unidade Gestora","Unidade Gestora","EXECUTADA (R$)","REALIZADA (R$)","SALDO A PAGAR (R$)"
"21205","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","JUNTA COMERCIAL DO ESTADO DA PARAIBA","77098.09","77098.09","0.00"
"21207","PB-TUR HOTEIS S/A","210701","PB-TUR HOTEIS S/A","430400.26","422934.84","7465.42"
"21212","CIA DE DESENVOLVIMENTO DE RECURSOS MINERAIS DA PARAIBA","211201","CIA DE DESENVOLVIMENTO DE RECURSOS MINERAIS - CDRM","5484377.97","5401209.27","83168.70"
"21901","FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO","770001","FUNDO ESTADUAL DE APOIO AO EMPREENDEDORISMO","19771589.34","19771589.34","0.00"
"21902","FUNDO DE APOIO AO DESENVOLVIMENTO INDUSTRIAL DA PB","650001","FUNDO DE APOIO AO DESENVOLVIMENTO INDUSTRIAL DA PARAíBA","2381534.32","1768799.26","612735.06"
"22101","SECRETARIA DE ESTADO DA EDUCACAO","220001","GABINETE DO SECRETARIO","1010797683.61","817246311.41","193551372.20"
"22101","SUP. DE OBRAS DO PLANO DE DESENVOLVIMENTO DO ESTADO","340201","GABINETE DO SECRETARIO","23152947.42","7969652.55","15183294.87"
"22101","UNIVERSIDADE ESTADUAL DA PARAIBA","220401","GABINETE DO SECRETARIO","0.00","0.00","0.00"
"22101","FUNDACAO CENTRO INTEGR. DE APOIO AO POR. DE DEFICIENCIA","220801","GABINETE DO SECRETARIO","39774.96","39774.96","0.00"
"22102","SECRETARIA DE ESTADO DA EDUCACAO","220001","SUBSECRETARIA DE CULTURA","118782.55","112458.80","6323.75"
"22103","SECRETARIA DE ESTADO DA EDUCACAO","220001","COORDENADORIA DE EDUCACAO BASICA","50164.16","50164.16","0.00"
"22104","SECRETARIA DE ESTADO DA EDUCACAO","220001","COORDENADORIA DE EDUCACAO DE JOVENS E ADULTOS","114941.90","114204.40","737.50"
"22105","SECRETARIA DE ESTADO DA EDUCACAO","220001","COORDENADORIA DE ENSINO MEDIO","57140.69","57140.69","0.00"
"22106","SECRETARIA DE ESTADO DA EDUCACAO","220001","COORDENADORIA DE ASSISTENCIA AO EDUCANDO","101382.40","100622.40","760.00"
"22108","SECRETARIA DE ESTADO DA EDUCACAO","220001","COORDENADORIA DE EDUCACAO FISICA E DESPORTOS","102978.86","102351.66","627.20"
